"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",0.162621174930098,0.6467920426315,0.116415243658869,0.0403726237899766,1.10490705090878,0.0684825553205407,0.121921636505078,0.109456761184742,0.313951664746522,-0.00845031553285259,2.53275718132066,0.175003630069631,0.0666282203472341,0.0459181100874653,0.314550797295677,-0.0646678683774693,0.843164825196914,0.0851651683714564,0.30360977908085,-0.0585449402543069,0.139231453584793,0.00318931843569666,0.345745756923107,0.773324898072783,0.0535692298629739,1.05189410249731,0.616165578224164,0.0455384425691499,0.112388278823074,0.857565019872883,0.058675155343219,3.72566302997623,0.125833291016107,0.42502961533441,4.69820882481867,5.47151824562734
"Progenitor_1",0.315672651582961,0.673945105195294,0.257404695890656,0.107775164224523,0.887184892097494,0.0572418217752443,0.0917002521154053,0.111534364023299,0.181671701104524,-0.010411785926193,3.14938086491898,0.158074721213716,0.135799413422049,0.0951192484825587,0.468912172156014,0.0166097767085891,1.02034010199719,0.107241161712705,0.583004862576004,0.113664538459049,0.299657002819764,0.0275679238754527,0.345543535613151,0.949163112853259,0.14787017328648,2.51644851716833,3.29016066676338,0.0561602881688291,0.424047481519506,0.787409450348425,0.0659441332957749,3.98148949701272,0.147100722363692,0.532845645698196,4.66500498781712,5.43124029256073
"Progenitor_2",0.488915626782701,1.44561909575457,0.720512813396667,0.20485558210235,0.660696604998216,0.0809276447500438,0.0984355626659595,0.258966319858951,0.333128185970398,-0.0151380792070727,2.77969423085167,0.141719060926603,0.235107936885324,0.185321166524949,0.587360346764721,0.19496567443764,1.21796938799213,0.107515719694728,0.731010732532005,0.585366566102638,2.16181857644,0.16302500193644,0.349772802802117,0.518636542423053,0.355098784530082,3.46907816734721,3.34718575877503,0.101860337630071,1.03107035316818,0.580949400984534,0.0956481030408825,3.51149665117607,0.192353986128272,0.475588875284344,4.61470405265375,5.3511033579689
"Progenitor_3",0.356800250216084,1.45452146171442,0.40108246401817,0.0836561546078317,1.78949065271623,0.17205774991723,0.41687198684662,0.184456667171597,0.176635782065931,-0.00824988513879467,4.3320354309019,2.52086965038148,0.167973612200784,0.138326844937441,0.466606369377734,-0.0160083951693141,0.491174253075686,2.41593719962064,0.772531403448979,-0.0816013356987555,0.2483710458697,0.0275679238754527,0.505155423500658,3.62539489628382,0.201178180947931,2.04463485294901,4.08340889593925,0.153636568033996,0.645536067490193,2.60604455630973,0.163270893449404,4.36555194904517,0.209352918025704,1.48538533920547,4.93700021765523,5.67425816752419
"Pre_Pro_B",0.265771174656569,0.356816927552315,0.234396113048594,0.104864951746045,1.26320401506164,0.154431648676546,0.220260453119856,0.192564280596033,0.34489487874966,0.0131109936825766,2.49544701577892,0.257656186303571,0.12581404817599,0.202949514057031,0.594186876421793,0.0284074423538247,2.913649525342,0.190403355430366,0.671892450578201,0.118853054715013,0.460208932958285,0.11912059541292,2.21919316235415,2.37035115595668,0.1823283497649,2.21247250925264,2.87900864452365,0.0572548300282992,0.56825104688811,1.10387580215218,0.107723157377138,3.91881966185344,0.267146711427129,1.16239890556476,4.46185393797054,5.24098745372633
"Pro_B1",0.267265090737289,0.396297129699934,0.400690962984271,0.118910849763542,1.44556634586805,0.235568503955661,0.477487809870805,0.288743155776861,0.50252876763914,0.0297691064515868,2.71952436472412,2.38088536404712,0.260489642747107,0.510866575268501,1.11199402950411,0.0720384228171425,3.58170546172897,1.51393939623784,0.844407128835626,0.23430547523336,0.56529650579858,0.173880788937763,2.44060979535847,3.00509659963507,0.26688065246757,2.75751299636588,3.81809784508178,0.0730645626651457,0.711461967284683,1.4634351661754,0.144208581753266,3.47699010441833,0.423774105174201,1.78821282838832,4.59864369348069,5.33164270869126
"Pro_B2",0.183581826752893,0.151978345364036,1.09525590973395,0.708346151286547,2.2652945911273,0.587700881753029,1.00041082437113,0.599953165786444,1.59228396057086,0.107800782349862,2.91958115914904,1.30158734527256,0.881061261247684,0.682643580211061,0.431332911883685,0.134808616817303,3.32531336086984,1.31714961360675,3.63263545460097,0.487185971405241,0.809137837599691,0.345001787220387,2.94598193364777,2.50227054911481,0.366930891244998,3.06142371354785,3.51987044715425,-0.0277639868608795,1.1928346177461,2.70782358938904,0.283783271496374,3.83310626918411,0.0983524413746542,2.14795988449232,4.51010552519478,5.25250525814281
"Pre_B1",0.336945931489373,0.633114232125717,1.1544532680586,0.805190880789508,2.23279835269201,0.734973062664613,0.955226285895049,0.744822517155246,1.79891869456138,0.251347620046294,2.54253302224183,1.83673706477301,1.15343050628874,1.17774356303479,2.27522875850047,0.426248738399591,3.27950012409896,1.2771647723975,3.56827673496463,0.523293135793172,0.931886294253502,0.400534196298912,2.88679424801014,2.61994765082303,0.426315620483006,3.37157470482818,3.74299919564542,0.0506706877415882,1.23075273177706,2.35235498973257,0.339943885702321,3.92978121507241,0.678359597606499,2.14708843364321,4.5313109522736,5.25975656323703
"Pre_B2",0.205993515827706,0.473861475354734,0.376128679223168,0.118967040494202,2.33381547036935,0.249713481947826,0.397723116071661,0.206540967730553,0.878042023559857,0.0373899327743945,1.12734139400912,0.945343720680021,0.244576122327062,0.269735822574168,0.719538359299616,0.0295828285995319,1.35473288546211,0.962387850114464,3.20929287324194,0.0506581987194902,0.423270666601057,0.0330333294026397,0.420249310165343,2.60146739444918,0.372936270907505,2.96211095234855,4.3642402829107,0.0270050483618309,1.02664933940578,1.98193717134482,0.24041004155605,4.31683221542834,0.266114653208004,1.34316807480227,4.48112682672599,5.24948641495131
"Early_Progenitors",0.327977649594982,0.578174235914789,0.197044242215678,0.139504351262182,0.598137587150627,0.0792069295201015,0.089627436974329,0.109415713134722,0.289909365290058,0.0275811838476781,0.565977021034239,0.233869463587967,0.152967515380954,0.160396300925241,0.69177229291432,0.0721955847898654,1.44732454295912,0.246088146226116,2.97720427762898,0.0655709689182191,0.398938702011537,0.0276050791931576,0.209761317304476,1.38457707543684,0.129772271094544,2.34385097906132,3.54214480113519,0.0852285779908389,0.70891887844359,0.786312662702853,0.066281431698771,3.66567305749964,0.221347964661137,0.583506386095443,4.27232213862935,5.06891166585384
"Late_Progenitors",0.344527096812906,2.07928199283581,0.198712717661713,0.0986391960184908,0.267427734052121,0.0077344465987802,0.034079600448052,0.0659314591083487,0.192094396608824,-0.000240261175220845,0.293574805715578,0.0385519904447258,0.0842087270087806,0.0808147712056812,0.631747662638197,0.0496983808045325,0.383593919620365,0.0184941313883213,0.431700726057549,-0.0409810563183466,0.39743809499377,0.0212566937505472,0.0863690727938302,0.295697847760053,0.110663093404601,2.371726148696,2.97520142574127,0.142073507876912,0.70891887844359,0.358318157978347,0.010064368661537,1.92418332535466,0.191266251136979,0.319854756281361,4.34368675650214,5.13532304772423
"Immature_B1",0.32948599897337,0.246032985315308,0.470843051046251,0.20821802812115,2.45827770454845,0.400520106683039,0.2795596326275,0.263148608314466,0.631250686597499,2.05794276836899,0.758726507370033,0.103758841773719,0.171353614925296,0.30927360282681,0.74525889009767,0.135989646691096,2.63483433215827,0.386519752817576,2.83756012207053,0.155731372975522,0.707480293928997,0.122417093574936,0.4232938980676,2.18843246622505,0.134543022748813,1.62555245540675,3.41839209149622,-0.130848650910295,1.08708495380762,2.13734891715364,0.425225572046556,5.19953605323194,0.38265458801807,0.769734006419174,4.56693782840453,5.36810746181484
"Immature_B2",0.287118333986033,2.42647269894673,0.720573158547404,0.400254594257191,2.61799313317725,1.14600496132173,0.473059529277674,0.296806858884944,1.5637823189718,2.52267669503559,1.54710162031002,0.193135322182462,0.440961694921247,0.270634558390875,2.33672985971221,0.502183660673496,1.90603220015994,0.265641513262565,2.88960148073568,0.164305572567809,0.640370917878848,0.117279860219296,0.364464649563864,2.38715856531855,0.155959428789071,1.82030254552163,2.74750752535936,-0.00671963738425624,1.2212225111508,2.72504928757051,0.619765451311478,5.22704364019075,2.21893585529762,1.38789360975522,4.57389484756524,5.32786441309248
"Mature_B",0.112527675959326,2.8459745562805,0.345107522450469,0.153233412599324,1.99110304287493,1.07361220390891,0.127023417459519,0.0453376168630458,1.22947899528482,2.30143047451242,0.367897165642589,-0.013489708211514,0.0724111623810285,0.0160788253833326,5.21280978537327,0.542038376076202,-0.000719174634050555,-0.00416596593380341,0.732451683986543,-0.134214047290642,0.386534315467913,0.0136900946791702,-0.0130544612797758,1.91294960743467,-0.0544850563791237,0.145091986548994,0.505743264675152,-0.130848650910295,1.04690306098455,1.61369447870698,0.0878773059021563,3.99669410111985,2.22798127150468,0.671918487547053,4.2774929453624,5.02216539823059
"Mature_Non_B",0.340031088828947,0.642345609553281,0.0742924100049306,0.0660740208038542,0.0923096557418479,-0.0079525109341288,-0.0173988117177513,0.0167247470393825,0.0835141065963072,-0.00266939047354734,0.208591897715268,0.0144172740228729,0.0356479151692453,0.0403556979529777,0.517301495713432,0.0116423204507794,0.301281265095233,-0.00374268797962532,0.413928121641665,-0.0790476521975688,0.0344302425447907,-0.0237228657548821,0.0569252915823364,0.136809552649084,0.00802897678174748,0.885173490301241,0.643382522575323,0.113922812238313,0.473099101925812,0.215628098176628,-0.0209357613755113,1.07416560322759,0.12966364487372,0.120522890478192,3.67673926076845,4.68048064731753
